Mace believes those copyright and interface issues are now being worked through in the current round of legal skirmishes <head>between</head> Intel Corp and its iAPX-86 impersonators such as Advanced Micro Devices .	5(4a)
They stared <head>around</head> them in disbelief .	1(1)
Shareholders get a 4.5% dividend hike <head>to</head> 6.95p .	6(2a)
The sea-air clearly suited Alan Judge who was outstanding <head>in</head> goal .	6(4a)
"` I 've explained it to him and it 's not fair <head>on</head> him being exposed to some of our defending in recent weeks . """	11(5)-1
Sex is possible , too , during menstruation ; many women feel disinclined towards it at this time of the month , but some feel their strongest desires <head>during</head> the menstrual period .	2(1a)
No , sure she 'd no notion where to find him , but he might ring the house <head>in</head> an hour or so , to see if there were any messages .	3(2)
John said his misery increased over the years as several friends died <head>of</head> AIDS .	16(7b)
He ( and the Assistant Dean ) also counsel many other students on the Course who consider that they have problems , and also respond to queries <head>from</head> other staff as to how best to advise individual students .	12(9)-1
Many , however , were less pessimistic about the malevolent desire <head>of</head> powerful vested interests to obstruct the progress of democracy and genuine peace .	11(6)
He had lived most of his life , he said , on or near the Island , and allowed me to gather that his parents had been poor dwellers <head>in</head> one of the outlying Lake villages .	1(1)
"For Gorbachev , opening the meeting , there could be no retreat <head>from</head> Leninist principles , or from the ` internationalist inheritance "" of the revolution ."	10(7)
She stopped half a dozen yards off and pushed her wet hair behind her ears and draped her arms protectively <head>across</head> her undisguised bump .	2(2)
Hooks of meat , barrows of vegetables , trays of pies , urns <head>of</head> tea passed him in every direction .	3(1b)-1
"In addition , these user histories point to the fact that the receptionists <head>of</head> some surgeries were instructed to turn away ` addicts "" or , at least , segregate them from the rest of the patients ."	6(3)
There may be the tendency to scorn the Irish <head>for</head> their olde worlde attitude .	6(5)
No one farmer could possibly be qualified to advise on all the options , nor could he do more than skate <head>over</head> them in one volume .	11(4)
She really was mad <head>about</head> what she 'd just found in her freezer .	1(1)
"In other words : ` As an important chap <head>from</head> England , I know better . """	4(3)
A guy <head>with</head> a gun sits up the tree and waits .	2(2)
I kept talking <head>to</head> his mother and the girl at the cash-register , but I was so distracted that I did n't know what I was saying .	8(3)
From 1859 caves became exciting <head>to</head> geologists , as they had been forty years earlier when Buckland looked for evidence of the Deluge .	8(3)-1
My well-worn schoolboy shoes were polished until they shone <head>like</head> glass .	2(1a)
In a third edition of 1612 Jaggard added without authority nine poems <head>from</head> Troia Britannica ( 1609 ) by Thomas Heywood [ q.v . ] .	4(3)
"Such language focused attention <head>on</head> the individuals or groups who were ` breaking the law "" , ` committing criminal acts "" , and threatening the interests of the law-abiding ` majority "" ."	11(5)
Mrs Kelleher looked up to the yellow face <head>of</head> the kitchen clock .	2(1a)
Here there is a large hanging locker <head>beside</head> the vanity with two drawers underneath .	1(1)
CAPILLARY REFILL TEST : This involves pressing your thumb <head>onto</head> the horse 's gum .	1(1)
"Similarly , any seafarer would surely distrust its description <head>by</head> one Albert Wetjen as ` a beautiful , warm-eyed woman with magic hands and a whispered voice , with a warm heart and a sad smile "" ."	3(1b)
If you are strongly allergic <head>to</head> any foods , you will know what they are , but slight reactions can go unrecognised .	14(6)
Derek 's quick response made Liz suspicious , especially since Jane had withdrawn <head>into</head> herself .	1(1)
President Yeltsin was also facing trouble from Russia 's supreme legislature , which was reported to be tabling a motion that would strip him <head>of</head> his emergency powers .	14(7)
"` You 're very kind , "" Eleanor repeated mechanically and followed Melissa from the church <head>like</head> a submissive child ."	2(1a)
Croat forces are detaining thirteen hundred Muslims in detention <head>in</head> a camp outside Mostar in South-West Bosnia .	1(1)
"` Aye , go on you , I 'll shove the kettle <head>on</head> the fire , a cup of tea always helps things along . """	5(1d)
"` They 're all Copts , "" said Nikos , but went to look <head>in</head> his files ."	7(5)
An overheated breeze came out of the desert , rattled the canvas sunscreen <head>like</head> a bad-tempered child seeking attention , and moved on , ignored .	4(1c)
THE US is planning to ship bomb-grade uranium <head>to</head> Romania despite fears that it may be working on a nuclear weapons programme .	1(1)
And when Alexander Korda returned <head>from</head> America , where he had been supporting Britain 's propaganda effort , with the intention of competing with Rank , he had to use bravado and charm where Rank had cash .	1(1)
For this reason alone , the introduction of Lates to Lake Victoria may soon be seen as one of the great biological disasters <head>of</head> the twentieth century .	9(5)
` Now I just feel great regret <head>at</head> what has happened .	11(6)-1
Reading the highbrow press made people somewhat disdainful <head>towards</head> television , but no more enthusiastic about the press .	4(2)-1
She fed it tidbits , morsels of bread soaked <head>in</head> milk .	1(1)
I explained <head>to</head> him about the boxing-match and the waterfall and he went up close and examined the glass minutely , different areas of it , taking his time .	8(3)
"` Dark and damp "" said the lady <head>in</head> the wheelchair ."	1(1)
They are still much the same in appearance as they were then , and farmed in much the same way , although tractors have now replaced teams <head>of</head> oxen .	3(1b)
Burglars often enter a house <head>through</head> a window .	1(1)
The Board has achieved a measure <head>of</head> success although this has been boosted by the development of North Sea Oil .	3(1b)
There are too many people nowadays who think they are achieving something by changing the scenery as often as possible : hitchhiking through Europe , peddling across Asia , rowing <head>across</head> the Atlantic and so forth .	1(1)
She defines your status <head>by</head> what you do .	5(2)
There are two external zipped hip pockets , both with storm flaps , and a map pocket concealed <head>inside</head> the jacket .	1(1)
Public transport now barely exists , the streets are filled <head>with</head> pot-holes .	5(3a)
Raynor had fetched wine from a corner cupboard , and was heating it <head>with</head> a thin iron rod which had been resting in the fire 's embers .	4(3)
